UID,BLOCKID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced
288789,,140,3,51,Virginia,VA,Crozet,Crozet,Town,tract,22932,434,38.0035093,-78.7456337,224084270,513542,3870,2012,1858,847.42825,626,532.01805,245.73514,317,1,0.99369,0.88328,0.66562,0.52366,0.52366,0.52366,0.4795,426,317,82251.56455,58317,74599.32821,844.30712,1578,99972.03005,85052,66420.10799,396.23221,1065,2024.26974,1928,808.50591,179.37824,627,469.32128,416,223.08635,525,381.75173,0.02778,0.02778,0.16753,0.54427,0.36824,0.19085,0.70838,0.92741,0.88244,0.97196,38.89988,40.25,21.36437,557.2457,2012,45.3803,50.08333,21.61201,492.76596,1858,0.74579,0.56712,0.02463,0.0117,0.10222
257619,,140,95,29,Missouri,MO,Kansas City,Kansas City City,City,tract,64130,816,39.0477342,-94.5491507,1338421,0,2697,1251,1446,905.93062,911,327.06125,321.48461,567,0.96473,0.94004,0.90476,0.67901,0.58554,0.54674,0.54674,0.37919,589,567,35972.38359,26384,32060.15545,851.6682,1069,32946.35996,26269,31348.58051,448.24399,612,988.99682,965,262.69583,126.04501,168,415.93946,392,203.77691,312,229.13212,0.03958,0.03958,0.08333,0.35,0.27043,0.5174,0.92472,0.79714,0.76398,0.82291,36.03369,33.66667,22.67918,338.66925,1251,38.39929,34.66667,25.45398,327.26367,1446,0.35373,0.23124,0.11156,0.04158,0.16227
223343,,140,13,4,Arizona,AZ,Chandler,Chandler City,CDP,tract,85249,480,33.2426611,-111.7895049,5123308,21278,5898,2862,3036,2143.55513,2098,438.17514,7.85689,77,1,1,1,0.79221,0.41558,0,0,0,77,77,146189.3247,137393,67217.84297,377.89317,1713,140718.8285,135418,57676.42741,332.62763,1535,2443.35053,2364,770.55631,309.30996,1437,576.16527,627,240.94256,199,130.81818,0.02139,0.02139,0.14059,0.87836,0.43024,0.27566,0.05748,0.91453,0.92503,0.90409,34.45717,37.41667,20.58364,630.06185,2862,32.75545,35.5,21.77045,699.57447,3036,0.94103,0.77351,0.03488,0.00404,0.0364
235725,,140,57,12,Florida,FL,Tampa,Pebble Creek,City,tract,33647,813,28.1494469,-82.3565168,2464707,50567,1105,457,648,1144.84723,1135,204.04871,133.90349,455,1,0.90549,0.64176,0.57143,0.3033,0.15824,0.12967,0.11868,455,455,59561.19893,57254,25207.50919,246.98533,455,63367.26166,67142,24330.79882,95.26054,204,,,,,,,,,,,,,,,,,,0.99474,0.98817,1,32.0907,29.75,16.72733,94.84358,457,29.088,28.08333,14.65116,144.78344,648,0,0.25806,0.10753,0.10753,0.09946
278782,,140,129,42,Pennsylvania,PA,Mount Pleasant,Mammoth,Borough,tract,15666,724,40.1711493,-79.4508375,85805176,128843,3335,1654,1681,664.03787,640,206.29313,110.9114,127,0.80508,0.74576,0.68644,0.55932,0.5,0.23729,0.16949,0.10169,175,118,58114.41116,43818,48194.30684,928.17281,1443,70802.02226,66859,46216.47492,490.34423,921,1098.2895,977,486.32209,407.65652,580,438.66125,396,203.1727,688,518.77838,0.01104,0.01104,0.08675,0.45741,0.52922,0.50214,0.83442,0.89702,0.91505,0.88049,42.37876,43.33333,22.90534,415.67926,1654,46.28069,47.16667,22.33214,415.71518,1681,0.88427,0.54513,0.00716,0.00358,0.12249
239052,,140,63,13,Georgia,GA,Jonesboro,Jonesboro City,City,tract,30236,770,33.552752,-84.3634253,6156930,29072,6209,2853,3356,843.5769,821,271.38001,973.18361,1476,1,0.89156,0.77875,0.72198,0.5655,0.43304,0.3377,0.29622,1514,1374,34884.14883,29494,27586.6772,1778.5021,2194,34756.39147,27666,25613.92157,1131.97215,1419,1039.49776,915,372.74957,294.1022,393,317.15415,269,152.51384,287,259.72727,0.05735,0.05735,0.08235,0.57794,0.16942,0.52281,0.64509,0.77643,0.74286,0.80546,32.22656,28.91667,18.09151,763.38733,2853,32.43831,29.66667,20.3877,816.06266,3356,0.28056,0.34165,0.00635,0.00635,0.11615
283817,,140,85,48,Texas,TX,Plano,Plano City,Town,tract,75023,469,33.0628959,-96.7048311,3000098,0,4409,2276,2133,1172.32681,1065,375.3584,431.32872,1203,0.97071,0.87364,0.73975,0.54728,0.44603,0.39331,0.26778,0.159,1211,1195,63466.70422,54847,41407.27546,1001.28157,1690,68015.15648,59914,39096.13008,606.7025,1113,1465.97219,1455,297.55077,108.73941,330,616.81689,610,213.81461,149,87.38384,0,0,0.01253,0.68894,1,0.82181,0.395,0.89125,0.87108,0.91166,33.9295,32.33333,20.94073,523.87769,2276,36.02843,32.5,19.28261,565.26836,2133,0.32076,0.51734,0.07959,0.05856,0.09551
239819,,140,127,13,Georgia,GA,Brunswick,Dock Junction,City,tract,31525,912,31.214476,-81.5262136,17503393,2393107,5768,2773,2995,860.52543,840,310.55241,510.37009,833,0.97604,0.88903,0.85246,0.70996,0.66835,0.60025,0.52207,0.38209,967,793,46946.99974,38189,36801.27836,1630.81548,2355,52994.59875,43322,36823.7077,1067.02739,1594,1031.1565,961,353.52901,614.76739,813,374.14978,387,119.48667,575,428.48091,0.02233,0.02233,0.10231,0.58573,0.42092,0.43124,0.62922,0.81564,0.82983,0.80633,37.21996,38.41667,23.95773,689.6636,2773,43.73112,40.66667,21.06657,613.46684,2995,0.61838,0.52756,0.04981,0,0.1354
231154,,140,85,6,California,CA,San Jose,San Jose City,City,tract,95139,408,37.2293402,-121.7707427,1043171,0,3221,1685,1536,2139.02567,2167,734.86728,27.81418,179,0.94972,0.81006,0.75419,0.75419,0.62011,0.31285,0.23464,0.18994,179,179,124932.9567,112005,70540.60785,285.04956,1045,129126.1619,119851,60026.12137,208.24437,850,2761.09943,2695,826.56421,157.91969,735,552.04033,571,182.12981,131,82.0101,0.08083,0.11085,0.2321,0.84873,0.04835,0.07039,0.0878,0.91325,0.91935,0.90788,34.80942,36.08333,23.47225,387.3374,1685,39.47102,41.66667,20.4959,348.16983,1536,0.79075,0.65792,0.00931,0.00931,0.08213
286703,,140,339,48,Texas,TX,The Woodlands,Shenandoah City,Town,tract,77384,936,30.2033571,-95.4702461,15034820,204356,9723,4670,5053,1284.27496,1254,371.05561,620.02072,2293,0.9372,0.7174,0.50196,0.37854,0.2874,0.19232,0.15264,0.10859,2430,2293,99212.40509,80980,74315.8653,1960.25994,4682,118253.9584,106481,71106.31794,997.9978,2825,2012.58418,1654,891.97742,342.6923,1067,716.56875,667,306.4321,1185,658.31207,0.01066,0.01066,0.03597,0.4738,0.53221,0.7386,0.81448,0.96479,0.97752,0.95326,43.08376,39.08333,22.70942,1024.18663,4670,48.13346,48.25,23.48379,1237.33231,5053,0.51991,0.68918,0.05982,0.02991,0.09646
275512,,140,53,41,Oregon,OR,Amity,Dallas City,City,tract,97101,503,45.0027841,-123.3092456,252541643,694236,6224,3277,2947,1011.78206,696,789.85485,341.05774,519,0.93834,0.77649,0.71484,0.63391,0.47592,0.28516,0.27553,0.22929,537,519,67487.16478,64433,46316.44478,1200.02456,2312,78405.53655,72054,42008.20836,731.78159,1704,1509.81065,1406,562.94169,505.70288,1239,476.93045,428,225.52878,536,368.53589,0.06085,0.0738,0.15493,0.69803,0.11214,0.22801,0.37299,0.93382,0.92142,0.94547,40.32511,40.75,25.07139,784.39893,3277,47.41574,50.25,23.72869,771.60792,2947,0.82275,0.62143,0.02363,0.00367,0.09291
265967,,140,1,36,New York,NY,Cohoes,Cohoes City,City,tract,12047,518,42.7808641,-73.7775287,18011095,2460841,6755,3106,3649,1126.27932,1096,230.56309,140.71135,431,1,0.83295,0.56381,0.49884,0.32019,0.24826,0.14849,0.14849,431,431,105526.179,91567,71110.10244,942.72349,2466,113785.548,103810,66349.08632,645.01237,1900,2190.25895,1985,1019.15549,352.69768,1264,662.20144,630,215.92906,771,426.05051,0,0,0.20983,0.62113,1,0.10042,0.55414,0.98129,0.98259,0.98014,41.15063,43,21.66854,856.99369,3106,39.09433,40.58333,21.2595,869.92783,3649,0.85837,0.60052,0.03245,0.01268,0.0884
239993,,140,139,13,Georgia,GA,Oakwood,Oakwood City,City,tract,30566,770,34.2400504,-83.915153,13862673,5314856,5534,2789,2745,1058.95221,983,299.4816,57.07205,133,1,1,0.84962,0.76692,0.6015,0.6015,0.4812,0.26316,162,133,80234.7291,63931,61979.2326,1022.11246,1971,87824.50749,73000,57187.02013,705.29024,1565,1545.1241,1349,734.29107,505.7924,1216,450.86191,397,229.89317,593,441.91015,0.03151,0.03151,0.1194,0.67219,0.33435,0.35649,0.43489,0.85654,0.85781,0.85521,39.76019,39,22.30914,686.63829,2789,41.89454,42.91667,22.01611,730.70249,2745,0.92277,0.58423,0.00717,0.00672,0.10708
262654,,140,15,33,New Hampshire,NH,Nottingham,Raymond,CDP,tract,3290,603,43.1298473,-71.1318591,120549465,4933266,4878,2373,2505,1207.12069,1147,700.60875,28.81596,62,0.79032,0.64516,0.64516,0.5,0.5,0.5,0.17742,0,70,62,107813.7726,96499,63247.86657,627.31927,1783,110786.6655,103596,57093.83687,459.72729,1421,2006.09562,2014,698.66368,386.20552,1322,717.6405,654,290.4408,391,214.23232,0.0502,0.05487,0.15587,0.77175,0.18043,0.22523,0.20887,0.94485,0.942,0.94773,41.87035,45.33333,21.23734,589.03034,2373,40.15288,42.16667,21.73308,592.20504,2505,0.96819,0.71334,0.02546,0.00916,0.0947
232053,,140,5,8,Colorado,CO,Denver,Glendale City,City,tract,80209,720,39.7043085,-104.9356763,1334951,0,2684,1407,1277,1154.00297,1013,500.73675,711.28029,1493,0.98491,0.90741,0.78601,0.6797,0.50412,0.35322,0.2963,0.18861,1520,1458,51809.96383,45624,40158.36635,1015.69362,1540,52547.20968,47197,35537.28591,290.22586,436,1977.39039,1953,276.31595,3.96794,20,,,,,,0,0,0,1,1,1,0,0.86706,0.82929,0.9094,33.39234,31.25,16.76318,361.81123,1407,32.85334,28.25,14.096,304.94668,1277,0.01155,0.25262,0.03713,0.03713,0.0904
249966,,140,5,25,Massachusetts,MA,New Bedford,New Bedford City,City,tract,2746,774,41.6695702,-70.9229142,718578,145530,3403,1670,1733,831.00577,827,189.18035,636.57125,968,0.97934,0.86054,0.75517,0.61674,0.48967,0.40083,0.31508,0.27169,998,968,50175.70531,39717,44283.84992,1025.1697,1475,55710.12787,43613,41803.8863,558.71888,811,1897.74068,1784,672.07237,66.02013,268,448.05938,426,157.68713,209,150.41414,0.07128,0.07128,0.21384,0.56184,0.11914,0.09429,0.67633,0.62473,0.61828,0.63063,35.84748,33.66667,21.47218,374.52833,1670,40.91775,37.75,21.9447,425.18768,1733,0.33794,0.37635,0.07573,0.02705,0.1221
246468,,140,141,18,Indiana,IN,South Bend,South Bend City,City,tract,46601,574,41.6631148,-86.2702683,3762571,0,1854,1315,539,716.97133,744,196.07819,82.35171,102,1,0.95098,0.95098,0.77451,0.54902,0.54902,0.45098,0.2451,108,102,36753.54949,29488,35875.65232,221.90785,271,42085.65549,34103,38830.31235,128.9628,172,698.57841,656,168.43379,83.38554,87,293.48351,333,102.0924,76,73.45,0,0,0,0.53374,1,1,0.72662,0.55214,0.57392,0.49196,32.77457,30.25,16.67182,333.5794,1315,31.00737,28.25,20.28146,134.52911,539,0.67626,0.20138,0.11322,0.02939,0.16335
221303,,140,97,1,Alabama,AL,Mobile,Mobile City,Town,tract,36608,251,30.6979635,-88.162262,5257796,186723,3927,1773,2154,1014.33764,1007,196.88489,150.51296,345,1,0.77985,0.65672,0.62313,0.54851,0.54851,0.51493,0.48134,354,268,79931.69941,63332,70337.64604,789.85066,1554,89997.7158,75896,64999.23484,442.87169,1029,1641.11371,1341,993.34502,412.13352,862,514.57882,416,363.02546,338,245.57576,0.01417,0.02333,0.09417,0.71833,0.41102,0.46787,0.3247,0.94462,0.94761,0.94228,36.11562,34,22.07223,451.1435,1773,37.65842,35.58333,23.47442,511.61398,2154,0.81996,0.57764,0.03348,0.01211,0.07977
292596,,140,31,55,Wisconsin,WI,Superior,Superior City,City,tract,54880,715,46.6783481,-92.0836463,23966959,652289,3251,1606,1645,785.82447,775,396.7778,311.09845,438,0.92658,0.77722,0.65316,0.54937,0.49873,0.48354,0.28608,0.26076,473,395,58782.90894,45666,53454.24769,852.90703,1365,74054.80069,63020,56266.04093,438.57823,818,1267.89967,1197,481.18186,271.79632,514,570.66043,529,192.96906,378,210.32323,0.04372,0.04372,0.09305,0.57623,0.2424,0.47319,0.64844,0.92032,0.93315,0.90824,41.35805,41.83333,22.68526,431.64356,1606,43.02161,43.08333,24.04907,390.42236,1645,0.69694,0.49141,0.04033,0,0.12845
277489,,140,77,42,Pennsylvania,PA,Allentown,Allentown City,Borough,tract,18103,484,40.5644885,-75.460223,3277906,21006,7100,3289,3811,994.59053,948,216.94645,530.64659,1219,0.98769,0.94094,0.85234,0.72436,0.5767,0.516,0.46103,0.26579,1233,1219,54816.36428,48535,37394.32682,1777.85515,2773,63413.03074,60041,37143.05051,995.84926,1820,1631.13214,1627,549.92982,369.86382,1050,497.67198,481,199.21355,490,329.39394,0.03377,0.03377,0.08182,0.68182,0.3155,0.52552,0.41173,0.87278,0.86203,0.88287,38.85973,40.5,21.50078,764.56918,3289,37.55959,34.75,21.81652,1043.75055,3811,0.58954,0.61062,0.07948,0.03783,0.07642
258230,,140,189,29,Missouri,MO,St Louis,St. Ann City,City,tract,63134,314,38.7338007,-90.378341,4623900,0,8166,3795,4371,824.85407,791,329.94853,1421.93727,2099,0.94995,0.86141,0.74928,0.59432,0.51684,0.43551,0.35467,0.23965,2122,2078,44892.10167,34773,37584.55442,2444.3731,3404,56699.1532,54397,36591.37219,1186.97159,2000,981.28005,947,329.67045,630.24041,851,378.86981,381,126.76209,431,357.76768,0,0,0.07722,0.66381,1,0.54746,0.455,0.85033,0.84549,0.85431,34.27851,31.33333,21.27913,1032.00198,3795,35.00416,31.25,21.5176,1134.78977,4371,0.41869,0.37647,0.02123,0.02022,0.12504
285278,,140,201,48,Texas,TX,Houston,Cloverleaf,Town,tract,77015,832,29.7875614,-95.1793247,1734306,0,4347,2353,1994,870.58303,773,313.86314,459.99797,694,0.98815,0.90519,0.74815,0.65185,0.56148,0.36444,0.29778,0.18963,694,675,46423.4596,38808,35888.81022,861.4287,1219,49363.20155,43483,30795.51743,622.95052,873,1256.85197,1202,346.14207,127.2202,237,523.9426,447,309.52368,288,201.13131,0.01905,0.01905,0.03048,0.45143,0.45377,0.76212,0.84111,0.54043,0.40309,0.67568,30.27892,26.33333,20.9776,635.18873,2353,31.99341,29.5,21.65129,455.18441,1994,0.49689,0.5,0.1123,0.09159,0.0872
285625,,140,201,48,Texas,TX,Houston,Stafford City,Town,tract,77031,713,29.6509447,-95.5411795,1242911,0,2015,1055,960,1490.47408,1471,290.35047,9.14528,60,1,1,0.92727,0.6,0.49091,0.27273,0.27273,0,75,55,94566.58117,76980,66712.50425,314.62981,708,100560.951,86331,63205.67385,214.51852,543,1479.24132,1438,407.85511,138.12176,367,573.93183,528,201.15788,266,156.40404,0.01738,0.01738,0.05687,0.57978,0.47065,0.64313,0.64138,0.86431,0.87516,0.85248,39.99849,39.33333,21.69317,268.81241,1055,43.41501,44.33333,21.51277,233.15018,960,0.87196,0.5805,0.03855,0.01587,0.07937
265815,,140,31,32,Nevada,NV,Reno,Reno City,City,tract,89509,775,39.4711363,-119.838909,7564263,163229,2442,1265,1177,1379.31853,1232,610.27237,151.04993,509,0.94695,0.77603,0.62279,0.51081,0.4499,0.41454,0.23969,0.16896,518,509,97373.07341,80149,75098.09031,574.91595,1184,105690.1055,90301,65428.03477,247.01739,686,2439.11229,2157,1046.15946,108.37026,475,734.25653,602,381.55234,191,98.68208,0.04805,0.04805,0.18018,0.71321,0.21596,0.15825,0.33683,1,1,1,43.68762,43.66667,23.83367,335.86163,1265,50.18519,51.08333,20.95824,258.95582,1177,0.57535,0.5685,0.05033,0.00839,0.12488
228358,,140,61,6,California,CA,Penryn,Penryn,City,tract,95663,916,38.8663588,-121.1915287,31411645,0,2548,1202,1346,1327.97568,1295,599.9465,34.65114,89,1,0.91011,0.91011,0.91011,0.69663,0.69663,0.69663,0.23596,94,89,110265.8738,88440,78209.43236,327.38164,923,110271.079,92536,70401.04585,252.44359,748,2494.21538,2506,750.75779,131.91166,607,483.30644,415,345.6286,222,150.66047,0.02533,0.02533,0.12666,0.73221,0.39147,0.32776,0.29292,0.95959,0.95459,0.9645,47.30379,49.58333,20.89793,296.18247,1202,44.22837,48.66667,23.29291,347.67513,1346,0.89984,0.68211,0.04912,0.04912,0.04727
